iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
YEM,YEM.20_1,Shabwah,1.0,1.0,0.0,38815.9272,46923,0.2642,1.1008,True,,False,True,desert_dark
YEM,YEM.21_1,Ta`izz,0.8917,1.0,0.0,10011.265,12032,1.0249,1.8476,True,,False,True,desert_dark
OMN,OMN.1_1,Ad Dakhliyah,0.9868,1.0,0.0,31512.7743,39813,0.6409,7.7297,True,,False,False,lit_desert
OMN,OMN.2_1,Al Batinah North,1.0,1.0,0.0,7988.4636,10216,4.3643,17.2755,True,,False,False,lit_desert
OMN,OMN.3_1,Al Batinah South,0.9643,1.0,0.0,4006.15,5099,4.4426,24.2765,True,,False,False,lit_desert
OMN,OMN.4_1,Al Buraymi,1.0,1.0,0.0,4958.8893,6351,2.6392,12.9487,True,,False,False,lit_desert
OMN,OMN.5_1,Al Dhahira,1.0,1.0,0.0,28831.9402,36570,2.2487,6.5478,True,,False,False,lit_desert
OMN,OMN.6_1,Al Wusta,1.0,1.0,0.0,67205.4882,83853,0.4327,2.0161,True,dark;dark_wide,True,True,desert_dark
OMN,OMN.7_1,Ash Sharqiyah North,0.9728,0.9923,0.0029,24640.4297,31048,0.4544,3.951,True,dark_wide,True,True,desert_dark
OMN,OMN.8_1,Ash Sharqiyah South,0.9752,0.9933,0.0014,6376.8172,8022,0.8681,7.0392,True,,False,False,lit_desert
