iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
PER,PER.12_1,Junín,0.0,0.0426,0.9574,44633.6583,53266,0.3242,1.242,False,,False,True,anomalously_dark
PER,PER.13_1,La Libertad,0.428,0.699,0.301,25301.7224,29878,0.5269,2.9917,False,,False,False,ordinary
PER,PER.14_1,Lambayeque,0.8719,0.9639,0.0361,14288.076,16816,0.7824,3.4026,True,,False,False,lit_desert
PER,PER.16_1,Lima,0.4201,0.6681,0.3319,32341.1599,38629,0.4379,2.8529,False,,False,False,ordinary
PER,PER.15_1,Lima Province,0.9997,1.0,0.0,2701.1865,3229,19.6894,40.7271,True,,False,False,lit_desert
PER,PER.17_1,Loreto,0.0,0.0,1.0,375444.1004,440517,0.0281,0.0608,False,,False,True,anomalously_dark
PER,PER.18_1,Madre de Dios,0.0,0.0,1.0,84359.4721,100833,0.0075,0.142,False,,False,True,anomalously_dark
PER,PER.19_1,Moquegua,0.5523,1.0,0.0,15757.476,19241,0.193,1.7885,True,,False,True,desert_dark
PER,PER.20_1,Pasco,0.0,0.0094,0.9906,23965.8955,28493,0.1034,0.6479,False,,False,True,anomalously_dark
PER,PER.21_1,Piura,0.687,0.8948,0.1052,35860.3304,42118,0.3687,3.0171,True,,False,False,lit_desert
PER,PER.22_1,Puno,0.0,0.3109,0.6891,72694.5704,87977,0.0604,0.7527,False,,False,True,anomalously_dark
PER,PER.23_1,San Martín,0.0,0.0,1.0,50373.9692,59372,0.0459,0.5615,False,,False,True,anomalously_dark
PER,PER.24_1,Tacna,0.7405,1.0,0.0,16003.1006,19622,0.234,1.4445,True,,False,True,desert_dark
PER,PER.25_1,Tumbes,0.4997,1.0,0.0,4649.1999,5451,0.4407,3.4645,False,,False,False,ordinary
PER,PER.26_1,Ucayali,0.0,0.0,1.0,105098.4174,124677,0.0348,0.1716,False,,False,True,anomalously_dark
SUR,SUR.1_1,Brokopondo,0.0,0.0,1.0,7337.487,8613,0.0128,0.5225,False,,False,True,anomalously_dark
SUR,SUR.2_1,Commewijne,0.0,0.0,1.0,2437.8377,2866,0.5502,3.5628,False,,False,False,ordinary
SUR,SUR.3_1,Coronie,0.0,0.0,1.0,3631.0151,4268,0.0096,0.1267,False,,False,True,anomalously_dark
SUR,SUR.4_1,Marowijne,0.0,0.0,1.0,4690.3635,5513,0.1947,0.4365,False,,False,True,anomalously_dark
SUR,SUR.5_1,Nickerie,0.0,0.0,1.0,5358.3496,6298,0.1726,0.7292,False,,False,True,anomalously_dark
SUR,SUR.6_1,Para,0.0,0.0,1.0,5411.7448,6358,0.4757,1.4097,False,,False,True,anomalously_dark
SUR,SUR.7_1,Paramaribo,0.0,0.0,1.0,167.5407,197,32.7963,50.4587,False,,False,False,ordinary
SUR,SUR.8_1,Saramacca,0.0,0.0,1.0,3786.258,4451,0.1058,1.5617,False,,False,True,anomalously_dark
SUR,SUR.9_1,Sipaliwini,0.0,0.0,1.0,113167.8711,132683,0.0,0.0172,False,,False,True,anomalously_dark
SUR,SUR.10_1,Wanica,0.0,0.0,1.0,432.9548,509,7.4009,28.2341,False,,False,False,ordinary
URY,URY.1_2,Artigas,0.0,0.0,1.0,12024.3466,16289,0.0833,0.6286,False,,False,True,anomalously_dark
URY,URY.2_2,Canelones,0.0,0.0,1.0,4522.9025,6396,5.1406,15.3881,False,,False,False,ordinary
URY,URY.3_2,Cerro Largo,0.0,0.0,1.0,13811.7855,19073,0.1279,0.9781,False,,False,True,anomalously_dark
URY,URY.4_2,Colonia,0.0,0.0,1.0,6108.7528,8597,0.6079,4.2793,False,,False,False,ordinary
URY,URY.5_2,Durazno,0.0,0.0,1.0,12226.7669,16992,0.1103,1.1791,False,,False,True,anomalously_dark
URY,URY.6_2,Flores,0.0,0.0,1.0,5145.9778,7196,0.1457,0.8671,False,,False,True,anomalously_dark
URY,URY.7_2,Florida,0.0,0.0,1.0,10420.0278,14605,0.2079,1.5397,False,,False,True,anomalously_dark
URY,URY.8_2,Lavalleja,0.0,0.0,1.0,10031.4297,14084,0.1444,1.0485,False,,False,True,anomalously_dark
URY,URY.9_2,Maldonado,0.0,0.0,1.0,4779.3434,6760,1.4737,4.7583,False,,False,False,ordinary
URY,URY.10_2,Montevideo,0.0,0.0,1.0,529.3278,751,43.9962,51.6477,False,,False,False,ordinary
URY,URY.11_2,Paysandú,0.0,0.0,1.0,14103.2689,19396,0.1521,1.3188,False,,False,True,anomalously_dark
URY,URY.12_2,Río Negro,0.0,0.0,1.0,9580.8303,13277,0.1425,1.3451,False,,False,True,anomalously_dark
URY,URY.13_2,Rivera,0.0,0.0,1.0,9330.5544,12753,0.1652,1.1862,False,,False,True,anomalously_dark
URY,URY.14_2,Rocha,0.0,0.0,1.0,10854.9974,15244,0.1684,1.284,False,,False,True,anomalously_dark
URY,URY.15_2,Salto,0.0,0.0,1.0,14166.0262,19330,0.1416,1.0565,False,,False,True,anomalously_dark
URY,URY.16_2,San José,0.0,0.0,1.0,5015.3269,7073,0.7953,5.5897,False,,False,False,ordinary
URY,URY.17_2,Soriano,0.0,0.0,1.0,8981.0787,12550,0.1503,1.3832,False,,False,True,anomalously_dark
URY,URY.18_2,Tacuarembó,0.0,0.0,1.0,15979.1688,21986,0.1107,0.7818,False,,False,True,anomalously_dark
URY,URY.19_2,Treinta y Tres,0.0,0.0,1.0,9717.5414,13511,0.1296,1.0837,False,,False,True,anomalously_dark
VEN,VEN.1_1,Amazonas,0.0,0.0,1.0,182830.1976,214315,0.0123,0.0363,False,,False,True,anomalously_dark
VEN,VEN.2_1,Anzoátegui,0.0,0.4766,0.5234,47735.7767,56510,2.4163,7.1742,False,,False,False,ordinary
VEN,VEN.3_1,Apure,0.0,0.0,1.0,73533.8695,86679,0.1286,0.3221,False,,False,True,anomalously_dark
VEN,VEN.4_1,Aragua,0.0,0.1876,0.8124,6930.4448,8229,8.608,10.9494,False,,False,False,ordinary
VEN,VEN.5_1,Barinas,0.0,0.0,1.0,36194.2325,42763,0.7889,2.0744,False,,False,False,ordinary
VEN,VEN.6_1,Bolívar,0.0,0.0016,0.9984,239929.051,282350,0.1904,0.3767,False,,False,True,anomalously_dark
VEN,VEN.7_1,Carabobo,0.0,0.1947,0.8053,4783.1479,5683,20.9052,25.383,False,,False,False,ordinary
VEN,VEN.8_1,Cojedes,0.0,0.0016,0.9984,14481.5409,17164,1.2743,2.8042,False,,False,False,ordinary
VEN,VEN.9_1,Delta Amacuro,0.0,0.0001,0.9999,40026.4475,47366,0.1035,0.2533,False,,False,True,anomalously_dark
VEN,VEN.10_1,Dependencias Federales,0.0,1.0,0.0,346.2098,413,0.032,0.1276,False,,False,True,anomalously_dark
VEN,VEN.11_1,Distrito Capital,0.0,0.1388,0.8612,327.1138,389,55.7798,56.7247,False,,False,False,ordinary
VEN,VEN.12_1,Falcón,0.0134,0.9144,0.0856,27101.6264,32292,1.4971,3.2015,False,,False,False,ordinary
VEN,VEN.13_1,Guárico,0.0,0.1815,0.8185,67248.3324,79589,0.4928,1.1625,False,,False,True,anomalously_dark
VEN,VEN.14_1,Lara,0.0,0.6322,0.3678,19042.9506,22625,3.0311,5.2037,False,,False,False,ordinary
VEN,VEN.15_1,Mérida,0.0,0.0006,0.9994,12833.3446,15177,2.3633,3.777,False,,False,False,ordinary
VEN,VEN.16_1,Miranda,0.0,0.1144,0.8856,8564.8689,10178,11.7282,14.7726,False,,False,False,ordinary
VEN,VEN.17_1,Monagas,0.0,0.2248,0.7752,29061.4708,34449,2.996,13.6429,False,,False,False,ordinary
VEN,VEN.18_1,Nueva Esparta,0.0,0.974,0.026,1033.4734,1231,24.2018,30.4719,False,,False,False,ordinary
VEN,VEN.19_1,Portuguesa,0.0,0.0016,0.9984,19493.5394,23084,1.9159,4.3968,False,,False,False,ordinary
VEN,VEN.20_1,Sucre,0.0,0.2908,0.7092,10892.0109,12950,3.2049,5.4556,False,,False,False,ordinary
VEN,VEN.21_1,Táchira,0.0,0.0,1.0,10787.7368,12739,4.4146,6.3206,False,,False,False,ordinary
VEN,VEN.22_1,Trujillo,0.0,0.0449,0.9551,8070.9593,9569,4.2436,7.6717,False,,False,False,ordinary
VEN,VEN.23_1,Vargas,0.0,0.3986,0.6014,999.6248,1189,13.8967,17.1921,False,,False,False,ordinary
VEN,VEN.24_1,Yaracuy,0.0,0.1922,0.8078,6223.3734,7397,3.977,7.9918,False,,False,False,ordinary
VEN,VEN.25_1,Zulia,0.0061,0.3317,0.6683,43897.6785,52119,4.2452,5.292,False,,False,False,ordinary
